SEXO,ADH,PD,CSAT,AHT,email_identifier,MOTIVO BAJA,ESTADO
M,0.945486,2.156372,0.541667,821.24557,0,NO ESPECIFICADO,0
M,0.970915,3.934885,0.511628,669.826087,0,NO ESPECIFICADO,0
M,0.994444,4.523044,0.527933,734.575139,0,NO ESPECIFICADO,0
F,0.99984,4.32566,4.5,0.0,1,CONTRATADO,1
F,0.989686,2.502333,4.796748,0.0,1,CONTRATADO,1
F,0.997779,2.621907,4.865385,0.0,1,CONTRATADO,1
F,0.996604,2.837476,4.653846,0.0,1,CONTRATADO,1
F,0.998062,4.857283,4.453947,0.0,1,CONTRATADO,1
M,0.714286,4.731895,0.5,740.281482,0,NO ESPECIFICADO,0
F,1.0,1.81792,0.545455,866.233333,2,RENUNCIA,0
F,0.876344,1.95059,0.52,569.488506,3,CONTRATADO,1
F,0.4,1.481481,0.666667,541.518519,4,NO ESPECIFICADO,0
F,0.996581,2.868188,0.446429,803.47205,5,NO ESPECIFICADO,0
F,0.997531,3.746599,0.513274,722.866477,5,NO ESPECIFICADO,0
M,0.995513,3.457578,0.608696,532.4,6,NO ESPECIFICADO,0
M,0.998649,5.653512,0.596659,475.666667,6,NO ESPECIFICADO,0
M,0.997222,6.699357,0.591797,458.922182,6,NO ESPECIFICADO,0
M,0.998276,5.366889,0.511482,539.555275,6,NO ESPECIFICADO,0
M,0.998627,5.888543,0.539961,470.322023,6,NO ESPECIFICADO,0
M,1.0,5.795095,0.484177,465.214286,6,NO ESPECIFICADO,0
F,0.672222,0.0,0.0,805.5,7,SIN HORAS DE CONEXIÓN,0
M,0.995833,1.095925,0.166667,549.96,8,NO ESPECIFICADO,0
M,0.750926,3.808274,0.495575,445.497207,8,NO ESPECIFICADO,0
F,0.9875,2.905564,0.465347,703.898148,9,NO ESPECIFICADO,0
F,0.987135,3.39957,0.527094,712.731044,9,NO ESPECIFICADO,0
F,0.880714,3.200762,0.552995,631.33662,10,NO ESPECIFICADO,0
M,0.758824,0.0,0.434783,745.333333,11,NO ESPECIFICADO,0
F,0.012121,0.0,0.0,462.0,12,SIN HORAS DE CONEXIÓN,0
M,1.0,1.657607,4.104478,435.556818,13,BAJO PERFORMANCE,0
M,0.988801,2.963065,4.045455,324.368421,13,BAJO PERFORMANCE,0
F,0.0,0.0,4.533333,309.1875,14,RENUNCIA VOLUNTARIA,0
F,0.963544,4.013992,3.949239,249.384342,14,RENUNCIA VOLUNTARIA,0
F,0.994686,3.026762,4.133333,209.400295,14,RENUNCIA VOLUNTARIA,0
M,0.0,1.574803,0.5,726.0,15,NO ESPECIFICADO,0
M,0.994444,1.722158,0.677419,715.428571,16,NO ESPECIFICADO,0
M,0.47381,2.435848,0.375,678.333333,16,NO ESPECIFICADO,0
