SEXO,ESTADO,ADH,PD,CSAT,AHT,email_identifier,PERFORMANCE_GROUP,Extroversion,Agreeableness,Conscientiousness,EmotionalStability,OpennessToExperience
M,ACTIVO,0.000275,0.0,0.0,1.0,0,0.0,,,,,
F,ACTIVO,0.998062,4.857283,4.453947,0.0,1,0.0,,,,,
F,INACTIVO,1.0,1.81792,0.545455,866.233333,2,1.0,,,,,
F,ACTIVO,0.876344,1.95059,0.52,569.488506,3,1.0,,,,,
F,INACTIVO,0.4,1.481481,0.666667,541.518519,4,1.0,,,,,
F,INACTIVO,0.997531,3.746599,0.513274,722.866477,5,0.0,,,,,
M,INACTIVO,1.0,5.795095,0.484177,465.214286,6,0.0,,,,,
F,INACTIVO,0.672222,0.0,0.0,805.5,7,1.0,,,,,
M,INACTIVO,0.750926,3.808274,0.495575,445.497207,8,0.0,,,,,
F,INACTIVO,0.987135,3.39957,0.527094,712.731044,9,1.0,,,,,
F,INACTIVO,0.880714,3.200762,0.552995,631.33662,10,1.0,,,,,
M,INACTIVO,0.758824,0.0,0.434783,745.333333,11,0.0,,,,,
F,INACTIVO,0.012121,0.0,0.0,462.0,12,1.0,,,,,
M,INACTIVO,0.988801,2.963065,4.045455,324.368421,13,1.0,,,,,
F,INACTIVO,0.923941,5.055218,3.985075,202.707483,14,0.0,,,,,
M,INACTIVO,0.0,1.574803,0.5,726.0,15,1.0,,,,,
M,INACTIVO,0.47381,2.435848,0.375,678.333333,16,0.0,,,,,
F,INACTIVO,0.983333,3.394802,0.486486,797.753709,17,0.0,,,,,
F,INACTIVO,0.176667,0.689655,0.0,784.166667,18,1.0,,,,,
F,INACTIVO,0.912083,4.979481,0.467033,529.005367,19,0.0,,,,,
M,ACTIVO,0.977059,6.263812,0.664047,567.339535,20,0.0,33.0,47.0,41.0,34.0,36.0
M,INACTIVO,0.497917,2.222222,0.222222,590.064516,21,1.0,,,,,
M,ACTIVO,0.998485,4.494959,0.562249,594.481675,22,1.0,,,,,
F,INACTIVO,0.821014,3.622523,0.394737,686.142857,23,0.0,,,,,
F,ACTIVO,0.947949,6.014717,0.650704,435.388721,24,0.0,,,,,
F,ACTIVO,0.813981,53.636835,3.964286,223.681481,25,0.0,,,,,
F,INACTIVO,1.0,6.454086,0.560606,432.634349,26,0.0,,,,,
F,INACTIVO,0.876596,4.922859,0.625,608.257048,27,0.0,,,,,
F,INACTIVO,0.930556,0.0,0.517647,486.0,28,1.0,,,,,
M,ACTIVO,0.961875,5.200514,0.559165,411.804383,29,1.0,,,,,
M,INACTIVO,0.583333,1.454415,0.571429,770.797101,30,1.0,,,,,
M,INACTIVO,0.0,0.0,1.0,982.0,31,1.0,,,,,
M,ACTIVO,0.844974,5.444648,0.584158,615.6675,32,1.0,,,,,
M,ACTIVO,0.97766,3.968093,0.52551,492.806897,33,1.0,,,,,
M,INACTIVO,0.99697,7.067093,0.518519,374.0,34,0.0,,,,,
F,INACTIVO,0.876768,4.334236,0.380952,557.762032,35,1.0,,,,,
M,INACTIVO,0.0,1.910828,1.0,873.333333,36,1.0,,,,,
F,INACTIVO,0.357143,2.590629,0.25,477.394737,37,1.0,,,,,
M,INACTIVO,0.95125,4.955078,0.56701,548.415094,38,0.0,,,,,
F,ACTIVO,0.976296,4.745293,0.606195,741.577815,39,0.0,41.0,46.0,48.0,40.0,43.0
M,INACTIVO,0.5,0.0,0.0,953.0,40,1.0,,,,,
F,ACTIVO,0.997887,3.692197,0.65283,790.040052,41,1.0,,,,,
M,INACTIVO,0.860484,3.581182,3.78,212.714859,42,1.0,,,,,
F,INACTIVO,0.367092,3.190099,4.0,236.395833,43,1.0,,,,,
M,INACTIVO,0.998987,3.004038,4.134615,260.273381,44,0.0,,,,,
F,INACTIVO,0.852843,4.022229,3.603448,233.914286,45,0.0,,,,,
F,INACTIVO,0.0,0.0,0.0,0.0,46,0.0,,,,,
M,INACTIVO,1.0,4.007177,0.621053,504.564437,47,1.0,,,,,
M,INACTIVO,0.863889,3.43823,0.497076,513.84878,48,0.0,,,,,
M,INACTIVO,0.451754,0.0,0.0,615.795455,49,0.0,,,,,
M,INACTIVO,0.996429,5.647786,0.5,393.941799,50,0.0,,,,,
M,INACTIVO,0.606091,2.139312,2.5,0.0,51,0.0,,,,,
F,INACTIVO,0.762714,6.50432,4.631579,0.0,52,0.0,,,,,
F,INACTIVO,0.689877,3.959751,4.333333,319.2,53,1.0,,,,,
F,ACTIVO,0.481615,5.732348,4.605263,182.674419,54,0.0,8.0,0.0,6.0,5.0,5.0
M,INACTIVO,0.781736,1.666667,3.4,248.545455,55,0.0,,,,,
M,INACTIVO,0.71,6.095392,0.578947,540.5625,56,0.0,,,,,
F,INACTIVO,0.950451,3.633251,4.1375,244.330798,57,1.0,,,,,
F,INACTIVO,0.873899,3.666833,0.531073,561.217021,58,0.0,,,,,
M,ACTIVO,0.709211,6.499826,0.650538,481.863839,59,0.0,,,,,
M,ACTIVO,0.941263,4.936483,4.171875,298.666667,60,0.0,,,,,
F,INACTIVO,0.765942,0.0,0.0,574.007692,61,0.0,,,,,
M,INACTIVO,0.353205,4.122339,0.604651,533.0625,62,0.0,,,,,
F,INACTIVO,0.333333,8.716758,0.565217,616.180556,63,0.0,,,,,
M,INACTIVO,0.998889,5.01199,0.486842,488.194861,64,0.0,,,,,
F,INACTIVO,0.762202,4.857252,0.495413,629.873684,65,1.0,,,,,
F,ACTIVO,0.997287,3.367978,0.435897,644.040385,66,1.0,,,,,
